Township of Pine,"('-78.50000', '41.10000')",Township of Pike,"('-78.50000', '41.00000')",[74.3648],[54.3848],[0.],[0.],[0.],[10.444658],[23.7122],37.88881666666667,4.298040241016778,2019-06-08
Township of Pike,"('-78.50000', '41.00000')",Township of Lawrence,"('-78.40000', '41.00000')",[75.2819],[54.5819],[0.],[0.],[0.],[10.093803],[22.369999],17.08745,4.024831226974591,2019-06-08
Township of Monroe,"('-79.40000', '41.20000')",Township of Clarion,"('-79.30000', '41.20000')",[62.0573],[35.1473],[0.1],[0.1],[0.],[8.7357645],[20.8041],9.85895,7.67644284237362,2022-03-16
Township of Clarion,"('-79.30000', '41.20000')",Township of Union,"('-79.20000', '41.20000')",[62.290398],[32.3204],[0.],[0.],[0.],[8.686937],[20.8041],9.770199999999999,8.849801373472873,2022-03-16
Township of Union,"('-79.20000', '41.20000')",Township of Eldred,"('-79.10000', '41.20000')",[61.872803],[35.5028],[0.],[0.],[0.],[8.863716],[21.9226],13.312683333333332,7.550596339549536,2022-03-16
Township of Eldred,"('-79.10000', '41.20000')",Township of Warsaw,"('-79.00000', '41.20000')",[61.9664],[35.5964],[0.],[0.],[0.],[8.863716],[21.9226],12.11125,7.514158907112772,2022-03-16
Township of Warsaw,"('-79.00000', '41.20000')",Township of Knox,"('-79.00000', '41.10000')",[63.240803],[36.9608],[0.1],[0.1],[0.],[8.594274],[20.3567],18.4757,7.104030279753422,2022-03-16
Township of Knox,"('-79.00000', '41.10000')",Township of Winslow,"('-78.90000', '41.10000')",[62.538803],[36.2588],[0.1],[0.1],[0.],[8.594274],[20.3567],13.793766666666667,7.3044918759685356,2022-03-16
Township of Winslow,"('-78.90000', '41.10000')",Township of Washington,"('-78.90000', '41.20000')",[62.3525],[32.3825],[0.1],[0.1],[0.],[9.17988],[22.5937],16.769283333333334,8.853786628061926,2022-03-16
Township of Washington,"('-78.90000', '41.20000')",Sandy,"('-78.80000', '41.10000')",[62.9798],[34.2698],[0.2],[0.2],[0.],[9.24777],[20.3567],23.40515,8.087331752661562,2022-03-16
Sandy,"('-78.80000', '41.10000')",Township of Pine,"('-78.50000', '41.10000')",[61.4381],[35.8781],[0.],[0.],[0.],[8.562188],[21.4752],37.144800000000004,7.676251521161777,2022-03-16
Township of Pine,"('-78.50000', '41.10000')",Township of Pike,"('-78.50000', '41.00000')",[64.0148],[33.8648],[0.],[0.],[0.],[7.7524233],[18.3434],37.88881666666667,8.441758878493914,2022-03-16
Township of Pike,"('-78.50000', '41.00000')",Township of Lawrence,"('-78.40000', '41.00000')",[65.0219],[33.2519],[0.],[0.],[0.],[8.313096],[18.119701],17.08745,8.447657935009005,2022-03-16
Township of Monroe,"('-79.40000', '41.20000')",Township of Clarion,"('-79.30000', '41.20000')",[67.938805],[56.0588],[0.],[0.],[0.],[7.7135963],[18.119701],9.85895,3.8591293976354235,2014-07-24
Township of Clarion,"('-79.30000', '41.20000')",Township of Union,"('-79.20000', '41.20000')",[68.2034],[56.4134],[0.],[0.],[0.],[7.7135963],[18.119701],9.770199999999999,3.82674750748102,2014-07-24
Township of Union,"('-79.20000', '41.20000')",Township of Eldred,"('-79.10000', '41.20000')",[67.6688],[56.0588],[0.],[0.],[0.],[7.8677554],[18.3434],13.312683333333332,3.8684442037957107,2014-07-24
Township of Eldred,"('-79.10000', '41.20000')",Township of Warsaw,"('-79.00000', '41.20000')",[68.1062],[56.4062],[0.],[0.],[0.],[7.8677554],[18.3434],12.11125,3.8331051871819675,2014-07-24
Township of Warsaw,"('-79.00000', '41.20000')",Township of Knox,"('-79.00000', '41.10000')",[68.8091],[57.4691],[0.],[0.],[0.],[7.6876025],[19.0145],18.4757,3.7674727435554978,2014-07-24
Township of Knox,"('-79.00000', '41.10000')",Township of Winslow,"('-78.90000', '41.10000')",[68.3258],[56.9858],[0.],[0.],[0.],[7.6876025],[19.0145],13.793766666666667,3.787071228563009,2014-07-24
Township of Winslow,"('-78.90000', '41.10000')",Township of Washington,"('-78.90000', '41.20000')",[68.5355],[56.8355],[0.],[0.],[0.],[7.8677554],[18.3434],16.769283333333334,3.8131750311829387,2014-07-24
Township of Washington,"('-78.90000', '41.20000')",Sandy,"('-78.80000', '41.10000')",[68.5283],[57.1883],[0.],[0.],[0.],[7.9089894],[19.461899],23.40515,3.8284010472771306,2014-07-24
Sandy,"('-78.80000', '41.10000')",Township of Pine,"('-78.50000', '41.10000')",[66.794],[55.274002],[0.],[0.],[0.],[7.6582546],[20.3567],37.144800000000004,4.196575938688901,2014-07-24
Township of Pine,"('-78.50000', '41.10000')",Township of Pike,"('-78.50000', '41.00000')",[69.8135],[58.2035],[0.],[0.],[0.],[8.102758],[20.580399],37.88881666666667,3.9514982659145548,2014-07-24
Township of Pike,"('-78.50000', '41.00000')",Township of Lawrence,"('-78.40000', '41.00000')",[71.744],[58.874],[0.],[0.],[0.],[8.2799225],[22.1463],17.08745,3.643012202899031,2014-07-24
Township of Monroe,"('-79.40000', '41.20000')",Township of Clarion,"('-79.30000', '41.20000')",[52.4588],[31.8488],[0.],[0.],[0.],[10.31206],[24.159601],9.85895,9.08361905191192,2015-04-26
Township of Clarion,"('-79.30000', '41.20000')",Township of Union,"('-79.20000', '41.20000')",[52.6334],[32.0234],[0.],[0.],[0.],[10.31206],[24.159601],9.770199999999999,8.995515311345018,2015-04-26
Township of Union,"('-79.20000', '41.20000')",Township of Eldred,"('-79.10000', '41.20000')",[52.0988],[31.3988],[0.],[0.],[0.],[10.406259],[24.383299],13.312683333333332,9.327680793891105,2015-04-26
Township of Eldred,"('-79.10000', '41.20000')",Township of Warsaw,"('-79.00000', '41.20000')",[52.3562],[31.6562],[0.],[0.],[0.],[10.406259],[24.383299],12.11125,9.18815613005226,2015-04-26
Township of Warsaw,"('-79.00000', '41.20000')",Township of Knox,"('-79.00000', '41.10000')",[53.239098],[32.3591],[0.],[0.],[0.],[10.2047415],[23.4885],18.4757,8.864649386179588,2015-04-26
Township of Knox,"('-79.00000', '41.10000')",Township of Winslow,"('-78.90000', '41.10000')",[52.665802],[31.6958],[0.],[0.],[0.],[10.2047415],[23.4885],13.793766666666667,9.173099247796008,2015-04-26
Township of Winslow,"('-78.90000', '41.10000')",Township of Washington,"('-78.90000', '41.20000')",[52.6055],[31.8155],[0.],[0.],[0.],[10.406259],[24.383299],16.769283333333334,9.124470284108504,2015-04-26
Township of Washington,"('-78.90000', '41.20000')",Sandy,"('-78.80000', '41.10000')",[52.7783],[31.6283],[0.],[0.],[0.],[9.908673],[23.4885],23.40515,9.267154115195243,2015-04-26
Sandy,"('-78.80000', '41.10000')",Township of Pine,"('-78.50000', '41.10000')",[50.684],[29.264],[0.],[0.],[0.],[10.0041685],[23.9359],37.144800000000004,10.884794628387143,2015-04-26
Township of Pine,"('-78.50000', '41.10000')",Township of Pike,"('-78.50000', '41.00000')",[53.7935],[31.1135],[0.],[0.],[0.],[9.822442],[22.5937],37.88881666666667,9.752840560190931,2015-04-26
Township of Pike,"('-78.50000', '41.00000')",Township of Lawrence,"('-78.40000', '41.00000')",[55.364],[30.704],[0.],[0.],[0.],[8.824107],[21.2515],17.08745,9.731179531276393,2015-04-26
Township of Monroe,"('-79.40000', '41.20000')",Township of Clarion,"('-79.30000', '41.20000')",[34.3373],[19.8473],[19.700003],[19.2],[0.35000002],[15.4628315],[35.1209],9.85895,33.776814284966385,2022-02-25
Township of Clarion,"('-79.30000', '41.20000')",Township of Union,"('-79.20000', '41.20000')",[34.9304],[19.9904],[20.2],[19.5],[0.49],[15.530645],[36.239403],9.770199999999999,33.12017905940519,2022-02-25
Township of Union,"('-79.20000', '41.20000')",Township of Eldred,"('-79.10000', '41.20000')",[34.6028],[19.3928],[20.999998],[20.399998],[0.42000002],[16.188524],[37.805298],13.312683333333332,37.0660966131235,2022-02-25
Township of Eldred,"('-79.10000', '41.20000')",Township of Warsaw,"('-79.00000', '41.20000')",[34.6964],[19.4864],[20.999998],[20.399998],[0.42000002],[16.188524],[37.805298],12.11125,36.4302273186526,2022-02-25
Township of Warsaw,"('-79.00000', '41.20000')",Township of Knox,"('-79.00000', '41.10000')",[36.0608],[20.3108],[18.800003],[18.400002],[0.28],[17.471529],[38.7001],18.4757,31.07320143317357,2022-02-25
Township of Knox,"('-79.00000', '41.10000')",Township of Winslow,"('-78.90000', '41.10000')",[35.3588],[19.608799],[18.800003],[18.400002],[0.28],[17.471529],[38.7001],13.793766666666667,34.93495199059016,2022-02-25
Township of Winslow,"('-78.90000', '41.10000')",Township of Washington,"('-78.90000', '41.20000')",[35.1725],[19.6925],[21.300003],[20.800001],[0.35],[16.71774],[38.476402],16.769283333333334,35.224947104462785,2022-02-25
Township of Washington,"('-78.90000', '41.20000')",Sandy,"('-78.80000', '41.10000')",[35.7098],[19.6898],[19.900002],[19.4],[0.35],[17.90718],[38.923798],23.40515,34.84486276650902,2022-02-25
Sandy,"('-78.80000', '41.10000')",Township of Pine,"('-78.50000', '41.10000')",[33.1781],[17.608099],[21.8],[21.499998],[0.21000001],[19.316074],[45.6348],37.144800000000004,56.04610972571968,2022-02-25
Township of Pine,"('-78.50000', '41.10000')",Township of Pike,"('-78.50000', '41.00000')",[36.3848],[20.6348],[25.],[24.9],[0.07],[19.933163],[42.0556],37.88881666666667,31.485762054369847,2022-02-25
Township of Pike,"('-78.50000', '41.00000')",Township of Lawrence,"('-78.40000', '41.00000')",[37.5719],[22.1819],[23.700003],[23.6],[0.07],[20.836546],[42.0556],17.08745,25.04665431916245,2022-02-25
Township of Monroe,"('-79.40000', '41.20000')",Township of Clarion,"('-79.30000', '41.20000')",[81.1373],[58.6373],[0.6],[0.6],[0.],[6.6736126],[15.4353],9.85895,3.6608258654993424,2020-06-20
Township of Clarion,"('-79.30000', '41.20000')",Township of Union,"('-79.20000', '41.20000')",[81.1004],[59.2304],[1.],[1.],[0.],[5.5924997],[13.6456995],9.770199999999999,3.6286579259558995,2020-06-20
Township of Union,"('-79.20000', '41.20000')",Township of Eldred,"('-79.10000', '41.20000')",[80.052795],[58.9928],[0.90000004],[0.90000004],[0.],[5.538552],[12.3035],13.312683333333332,3.6532754935960634,2020-06-20
Township of Eldred,"('-79.10000', '41.20000')",Township of Warsaw,"('-79.00000', '41.20000')",[80.1464],[59.086403],[0.90000004],[0.90000004],[0.],[5.538552],[12.3035],12.11125,3.6419411472488705,2020-06-20
Township of Warsaw,"('-79.00000', '41.20000')",Township of Knox,"('-79.00000', '41.10000')",[80.0708],[58.830803],[2.8999999],[2.8999999],[0.],[5.2414584],[12.5272],18.4757,3.7707122366536536,2020-06-20
Township of Knox,"('-79.00000', '41.10000')",Township of Winslow,"('-78.90000', '41.10000')",[79.3688],[58.1288],[2.8999999],[2.8999999],[0.],[5.2414584],[12.5272],13.793766666666667,3.80774706556455,2020-06-20
Township of Winslow,"('-78.90000', '41.10000')",Township of Washington,"('-78.90000', '41.20000')",[79.2725],[59.1125],[1.],[1.],[0.],[5.6944723],[11.8561],16.769283333333334,3.662187816293647,2020-06-20
Township of Washington,"('-78.90000', '41.20000')",Sandy,"('-78.80000', '41.10000')",[79.899796],[58.749798],[1.3000001],[1.3000001],[0.],[5.0020843],[13.869399],23.40515,3.7498040708717695,2020-06-20
Sandy,"('-78.80000', '41.10000')",Township of Pine,"('-78.50000', '41.10000')",[76.7381],[58.0181],[0.3],[0.3],[0.],[6.651079],[17.4486],37.144800000000004,3.964158896592022,2020-06-20
Township of Pine,"('-78.50000', '41.10000')",Township of Pike,"('-78.50000', '41.00000')",[80.0348],[59.424797],[4.7],[4.7],[0.],[4.4963145],[15.4353],37.88881666666667,4.039205924222358,2020-06-20
Township of Pike,"('-78.50000', '41.00000')",Township of Lawrence,"('-78.40000', '41.00000')",[81.0419],[61.6019],[4.4999995],[4.4999995],[0.],[6.023307],[12.5272],17.08745,3.606290838010866,2020-06-20
Township of Monroe,"('-79.40000', '41.20000')",Township of Clarion,"('-79.30000', '41.20000')",[80.0573],[60.527298],[6.2],[6.2],[0.],[7.137398],[18.790798],9.85895,3.729065100203899,2019-08-15
Township of Clarion,"('-79.30000', '41.20000')",Township of Union,"('-79.20000', '41.20000')",[80.4704],[60.7604],[8.2],[8.2],[0.],[7.409166],[20.580399],9.770199999999999,3.7873215242663276,2019-08-15
Township of Union,"('-79.20000', '41.20000')",Township of Eldred,"('-79.10000', '41.20000')",[80.592804],[60.3428],[10.799999],[10.799999],[0.],[7.02076],[19.0145],13.312683333333332,3.9318650209964945,2019-08-15
Township of Eldred,"('-79.10000', '41.20000')",Township of Warsaw,"('-79.00000', '41.20000')",[80.6864],[60.4364],[10.799999],[10.799999],[0.],[7.02076],[19.0145],12.11125,3.920188610089135,2019-08-15
Township of Warsaw,"('-79.00000', '41.20000')",Township of Knox,"('-79.00000', '41.10000')",[80.8808],[61.2608],[11.7],[11.7],[0.],[6.6095686],[19.461899],18.4757,3.914087998427157,2019-08-15
Township of Knox,"('-79.00000', '41.10000')",Township of Winslow,"('-78.90000', '41.10000')",[80.1788],[60.5588],[11.7],[11.7],[0.],[6.6095686],[19.461899],13.793766666666667,3.9501873542217947,2019-08-15
Township of Winslow,"('-78.90000', '41.10000')",Township of Washington,"('-78.90000', '41.20000')",[79.7225],[60.732502],[11.6],[11.6],[0.],[6.792528],[17.896],16.769283333333334,3.9446014532966056,2019-08-15
Township of Washington,"('-78.90000', '41.20000')",Sandy,"('-78.80000', '41.10000')",[80.0798],[60.9098],[12.299999],[12.299999],[0.],[6.366614],[20.133],23.40515,4.0027908668609715,2019-08-15
Sandy,"('-78.80000', '41.10000')",Township of Pine,"('-78.50000', '41.10000')",[77.2781],[59.6381],[18.2],[18.2],[0.],[7.3820996],[20.8041],37.144800000000004,4.5390741335487474,2019-08-15
Township of Pine,"('-78.50000', '41.10000')",Township of Pike,"('-78.50000', '41.00000')",[79.4948],[61.4948],[12.6],[12.6],[0.],[7.4361324],[19.6856],37.88881666666667,4.175055651490081,2019-08-15
Township of Pike,"('-78.50000', '41.00000')",Township of Lawrence,"('-78.40000', '41.00000')",[80.591896],[62.5019],[7.4000006],[7.4000006],[0.],[7.4495792],[18.3434],17.08745,3.647607739875907,2019-08-15
Township of Monroe,"('-79.40000', '41.20000')",Township of Clarion,"('-79.30000', '41.20000')",[35.3273],[27.5873],[1.8000002],[0.],[1.26],[8.441526],[19.9093],9.85895,12.16873613829743,2023-12-31
Township of Clarion,"('-79.30000', '41.20000')",Township of Union,"('-79.20000', '41.20000')",[35.6504],[27.9104],[1.4000002],[0.],[0.97999996],[8.905957],[20.3567],9.770199999999999,11.834321647297275,2023-12-31
Township of Union,"('-79.20000', '41.20000')",Township of Eldred,"('-79.10000', '41.20000')",[35.0528],[27.4928],[1.2000002],[0.],[0.84],[9.017635],[20.8041],13.312683333333332,12.183182807423849,2023-12-31
Township of Eldred,"('-79.10000', '41.20000')",Township of Warsaw,"('-79.00000', '41.20000')",[35.1464],[27.5864],[1.2000002],[0.],[0.84],[9.017635],[20.8041],12.11125,12.095580868558224,2023-12-31
Township of Warsaw,"('-79.00000', '41.20000')",Township of Knox,"('-79.00000', '41.10000')",[35.9708],[28.410799],[1.3000002],[0.],[0.90999997],[8.931207],[20.580399],18.4757,11.44463542546769,2023-12-31
Township of Knox,"('-79.00000', '41.10000')",Township of Winslow,"('-78.90000', '41.10000')",[35.2688],[27.7088],[1.3000002],[0.],[0.90999997],[8.931207],[20.580399],13.793766666666667,12.006305724770051,2023-12-31
Township of Winslow,"('-78.90000', '41.10000')",Township of Washington,"('-78.90000', '41.20000')",[35.4425],[28.3325],[1.3000002],[0.],[0.90999997],[8.931207],[20.580399],16.769283333333334,11.497512757032807,2023-12-31
Township of Washington,"('-78.90000', '41.20000')",Sandy,"('-78.80000', '41.10000')",[35.3498],[28.2398],[1.2],[0.1],[0.84],[8.84959],[19.461899],23.40515,11.605637453998394,2023-12-31
Sandy,"('-78.80000', '41.10000')",Township of Pine,"('-78.50000', '41.10000')",[33.4481],[27.4181],[1.5],[0.1],[0.98],[9.138905],[21.6989],37.144800000000004,12.546051800357223,2023-12-31
Township of Pine,"('-78.50000', '41.10000')",Township of Pike,"('-78.50000', '41.00000')",[36.3848],[30.6248],[1.9000001],[0.],[1.33],[9.138905],[20.8041],37.88881666666667,10.236825065668517,2023-12-31
Township of Pike,"('-78.50000', '41.00000')",Township of Lawrence,"('-78.40000', '41.00000')",[37.5719],[32.7119],[2.3000002],[0.20000002],[1.4699999],[9.223387],[20.3567],17.08745,8.911746336383207,2023-12-31
Township of Monroe,"('-79.40000', '41.20000')",Township of Clarion,"('-79.30000', '41.20000')",[35.5073],[29.4773],[3.6],[0.59999996],[2.1],[11.677483],[27.291399],9.85895,10.892998088417924,2020-12-22
Township of Clarion,"('-79.30000', '41.20000')",Township of Union,"('-79.20000', '41.20000')",[36.0104],[30.3404],[3.5999994],[0.3],[2.3100002],[10.704927],[25.949202],9.770199999999999,10.31784040674633,2020-12-22
Township of Union,"('-79.20000', '41.20000')",Township of Eldred,"('-79.10000', '41.20000')",[35.7728],[30.1928],[4.1],[0.19999996],[2.7299998],[11.106429],[30.8706],13.312683333333332,10.476897961389282,2020-12-22
Township of Eldred,"('-79.10000', '41.20000')",Township of Warsaw,"('-79.00000', '41.20000')",[35.8664],[30.2864],[4.1],[0.19999996],[2.7299998],[11.106429],[30.8706],12.11125,10.412997628747275,2020-12-22
Township of Warsaw,"('-79.00000', '41.20000')",Township of Knox,"('-79.00000', '41.10000')",[36.0608],[31.1108],[3.1999993],[0.3],[2.0300002],[11.04317],[27.738798],18.4757,9.845021746743376,2020-12-22
Township of Knox,"('-79.00000', '41.10000')",Township of Winslow,"('-78.90000', '41.10000')",[35.3588],[30.4088],[3.1999993],[0.3],[2.0300002],[11.04317],[27.738798],13.793766666666667,10.242167183401591,2020-12-22
Township of Winslow,"('-78.90000', '41.10000')",Township of Washington,"('-78.90000', '41.20000')",[36.1625],[30.5825],[4.799999],[0.2],[3.2199996],[11.432798],[31.318],16.769283333333334,10.321631044805178,2020-12-22
Township of Washington,"('-78.90000', '41.20000')",Sandy,"('-78.80000', '41.10000')",[35.5298],[30.7598],[3.5999997],[0.39999998],[2.24],[11.443736],[29.081],23.40515,10.130011157598009,2020-12-22
Sandy,"('-78.80000', '41.10000')",Township of Pine,"('-78.50000', '41.10000')",[33.8981],[28.5881],[3.7999995],[0.3],[2.45],[13.711552],[36.239403],37.144800000000004,11.845403645489501,2020-12-22
Township of Pine,"('-78.50000', '41.10000')",Township of Pike,"('-78.50000', '41.00000')",[36.2948],[31.3448],[2.8999996],[0.3],[1.8200002],[12.309598],[27.9625],37.88881666666667,9.927559282495402,2020-12-22
Township of Pike,"('-78.50000', '41.00000')",Township of Lawrence,"('-78.40000', '41.00000')",[37.3919],[32.8919],[2.4999995],[0.5],[1.4000002],[13.350974],[27.5151],17.08745,8.846205252622486,2020-12-22
Township of Monroe,"('-79.40000', '41.20000')",Township of Clarion,"('-79.30000', '41.20000')",[34.3373],[9.047298],[0.],[0.],[0.],[7.245256],[14.764199],9.85895,-32.702041892124925,2018-03-11
Township of Clarion,"('-79.30000', '41.20000')",Township of Union,"('-79.20000', '41.20000')",[34.6604],[9.280399],[0.],[0.],[0.],[7.2036953],[14.5405],9.770199999999999,-34.317738066032454,2018-03-11
Township of Union,"('-79.20000', '41.20000')",Township of Eldred,"('-79.10000', '41.20000')",[34.9628],[8.682798],[0.],[0.],[0.],[7.63535],[15.2116],13.312683333333332,-30.45046014456462,2018-03-11
Township of Eldred,"('-79.10000', '41.20000')",Township of Warsaw,"('-79.00000', '41.20000')",[35.0564],[8.7764],[0.],[0.],[0.],[7.63535],[15.2116],12.11125,-31.000182995956433,2018-03-11
Township of Warsaw,"('-79.00000', '41.20000')",Township of Knox,"('-79.00000', '41.10000')",[35.7908],[10.0508],[0.],[0.],[0.],[6.818264],[13.1983],18.4757,-40.9802820402156,2018-03-11
Township of Knox,"('-79.00000', '41.10000')",Township of Winslow,"('-78.90000', '41.10000')",[35.0888],[9.348799],[0.],[0.],[0.],[6.818264],[13.1983],13.793766666666667,-34.811327041623116,2018-03-11
Township of Winslow,"('-78.90000', '41.10000')",Township of Washington,"('-78.90000', '41.20000')",[35.3525],[9.432501],[0.],[0.],[0.],[7.832695],[15.8827],16.769283333333334,-35.436721750840874,2018-03-11
Township of Washington,"('-78.90000', '41.20000')",Sandy,"('-78.80000', '41.10000')",[37.4198],[10.239801],[0.],[0.],[0.],[6.9670963],[14.764199],23.40515,-43.005445621629654,2018-03-11
Sandy,"('-78.80000', '41.10000')",Township of Pine,"('-78.50000', '41.10000')",[36.2381],[14.818098],[0.],[0.],[0.],[6.7629957],[18.119701],37.144800000000004,198.29185660016498,2018-03-11
Township of Pine,"('-78.50000', '41.10000')",Township of Pike,"('-78.50000', '41.00000')",[39.3548],[19.104801],[0.],[0.],[0.],[5.9100847],[15.2116],37.88881666666667,32.02146047984008,2018-03-11
Township of Pike,"('-78.50000', '41.00000')",Township of Lawrence,"('-78.40000', '41.00000')",[40.7219],[20.6519],[0.],[0.],[0.],[5.8162003],[14.9879],17.08745,24.386850354333987,2018-03-11
start city name,start city coordinates,intermediate city name,intermediate city coordinates,daily_temperature_2m_max,daily_temperature_2m_min,daily_precipitation_sum,daily_rain_sum,daily_snowfall_sum,daily_wind_speed_10m_max,daily_wind_gusts_10m_max,time(minutes),risk_factor,date
Township of Monroe,"('-79.40000', '41.20000')",Township of Clarion,"('-79.30000', '41.20000')",[17.8088],[4.938801],[0.],[0.],[0.],[6.4872994],[14.5405],9.85895,-17.871049332543535,2010-01-30
Township of Clarion,"('-79.30000', '41.20000')",Township of Union,"('-79.20000', '41.20000')",[18.1634],[6.1033993],[0.],[0.],[0.],[6.4872994],[14.5405],9.770199999999999,-20.507956745139456,2010-01-30
Township of Union,"('-79.20000', '41.20000')",Township of Eldred,"('-79.10000', '41.20000')",[17.5388],[5.3887997],[0.],[0.],[0.],[6.1710396],[13.6456995],13.312683333333332,-18.79601452963949,2010-01-30
Township of Eldred,"('-79.10000', '41.20000')",Township of Warsaw,"('-79.00000', '41.20000')",[17.7962],[4.7462006],[0.],[0.],[0.],[6.1710396],[13.6456995],12.11125,-17.4934136689582,2010-01-30
Township of Warsaw,"('-79.00000', '41.20000')",Township of Knox,"('-79.00000', '41.10000')",[18.4991],[5.8990993],[0.],[0.],[0.],[6.673612],[14.9879],18.4757,-19.95708882848373,2010-01-30
Township of Knox,"('-79.00000', '41.10000')",Township of Winslow,"('-78.90000', '41.10000')",[17.7458],[4.155802],[0.],[0.],[0.],[6.673612],[14.9879],13.793766666666667,-16.43800855511067,2010-01-30
Township of Winslow,"('-78.90000', '41.10000')",Township of Washington,"('-78.90000', '41.20000')",[17.9555],[3.8255005],[0.],[0.],[0.],[6.1710396],[13.6456995],16.769283333333334,-15.890894039513476,2010-01-30
Township of Washington,"('-78.90000', '41.20000')",Sandy,"('-78.80000', '41.10000')",[17.9483],[3.098301],[0.],[0.],[0.],[6.187236],[14.9879],23.40515,-14.78268372727869,2010-01-30
Sandy,"('-78.80000', '41.10000')",Township of Pine,"('-78.50000', '41.10000')",[16.663998],[4.7840004],[0.],[0.],[0.],[5.538552],[14.093101],37.144800000000004,-17.30653871792063,2010-01-30
Township of Pine,"('-78.50000', '41.10000')",Township of Pike,"('-78.50000', '41.00000')",[19.5935],[7.5335007],[0.],[0.],[0.],[5.8547893],[14.5405],37.88881666666667,-24.765564664639353,2010-01-30
Township of Pike,"('-78.50000', '41.00000')",Township of Lawrence,"('-78.40000', '41.00000')",[20.984001],[10.184],[0.],[0.],[0.],[6.3979764],[16.1064],17.08745,-42.41992641459024,2010-01-30
Township of Monroe,"('-79.40000', '41.20000')",Township of Clarion,"('-79.30000', '41.20000')",[7.8773003],[-4.092701],[1.4000002],[0.],[0.97999996],[13.408945],[31.0943],9.85895,-9.085790745762536,2018-01-06
Township of Clarion,"('-79.30000', '41.20000')",Township of Union,"('-79.20000', '41.20000')",[7.930401],[-3.9496002],[1.4000001],[0.],[0.97999996],[13.711551],[31.318],9.770199999999999,-9.158463957723036,2018-01-06
Township of Union,"('-79.20000', '41.20000')",Township of Eldred,"('-79.10000', '41.20000')",[7.332798],[-4.367199],[1.4000001],[0.],[0.97999996],[14.208033],[32.8839],13.312683333333332,-8.940578408716434,2018-01-06
Township of Eldred,"('-79.10000', '41.20000')",Township of Warsaw,"('-79.00000', '41.20000')",[7.426399],[-4.2736015],[1.4000001],[0.],[0.97999996],[14.208033],[32.8839],12.11125,-8.990242222244488,2018-01-06
Township of Warsaw,"('-79.00000', '41.20000')",Township of Knox,"('-79.00000', '41.10000')",[8.250799],[-3.3591995],[0.70000005],[0.],[0.48999998],[14.234424],[33.555],18.4757,-9.364123952957852,2018-01-06
Township of Knox,"('-79.00000', '41.10000')",Township of Winslow,"('-78.90000', '41.10000')",[7.5487995],[-4.0611954],[0.70000005],[0.],[0.48999998],[14.234424],[33.555],13.793766666666667,-9.020883840218545,2018-01-06
Township of Winslow,"('-78.90000', '41.10000')",Township of Washington,"('-78.90000', '41.20000')",[7.5424995],[-4.1574974],[1.5000001],[0.],[1.05],[14.39523],[33.555],16.769283333333334,-9.039368216294358,2018-01-06
Township of Washington,"('-78.90000', '41.20000')",Sandy,"('-78.80000', '41.10000')",[7.4498005],[-4.610199],[1.0000001],[0.2],[0.56],[14.733664],[33.7787],23.40515,-8.724240170357357,2018-01-06
Sandy,"('-78.80000', '41.10000')",Township of Pine,"('-78.50000', '41.10000')",[5.4580994],[-5.7018967],[1.0000001],[0.1],[0.7],[15.959705],[39.3712],37.144800000000004,-8.04233334051837,2018-01-06
